Date,Close
2/12/2015,168
2/13/2015,176
2/17/2015,176.4
2/18/2015,181.4
2/19/2015,185
2/20/2015,190.2
2/23/2015,189.8
2/24/2015,186.2
2/25/2015,186.6
2/26/2015,186.2
2/27/2015,183
3/2/2015,178.4
3/3/2015,171.4
3/4/2015,176.6
3/5/2015,178.8
3/6/2015,176
3/9/2015,175.8
3/10/2015,180.4
3/11/2015,180.3
3/12/2015,185.8
3/13/2015,185.8
3/16/2015,188.2
3/17/2015,188.6
3/18/2015,189.4
3/19/2015,194.2
3/20/2015,191.6
3/23/2015,191
3/24/2015,185
3/25/2015,159.6
3/26/2015,151.6
3/27/2015,164.4
3/30/2015,172.8
3/31/2015,165.4
4/1/2015,166
4/2/2015,158.8
4/6/2015,156.2
4/7/2015,160.2
4/8/2015,163.4
4/9/2015,163.8
4/10/2015,167
4/13/2015,166.4
4/14/2015,163.8
4/15/2015,165.4
4/16/2015,164.6
4/17/2015,161.4
4/20/2015,165.8
4/21/2015,168.4
4/22/2015,170.2
4/23/2015,173
4/24/2015,171.6
4/27/2015,164.6
4/28/2015,163.6
4/29/2015,160.5
4/30/2015,154.6
5/1/2015,159
5/4/2015,160.8
5/5/2015,153.2
5/6/2015,157.6
5/7/2015,157.8
5/8/2015,164.6
5/11/2015,170.4
5/12/2015,170.2
5/13/2015,169.4
5/14/2015,172.6
5/15/2015,170.8
5/18/2015,174.4
5/19/2015,174.8
5/20/2015,176.8
5/21/2015,177.2
5/22/2015,177.4
5/26/2015,177.8
5/27/2015,179.8
5/28/2015,176.8
5/29/2015,180
6/1/2015,178.7
6/2/2015,177.8
6/3/2015,178.2
6/4/2015,175.2
6/5/2015,176.1
6/8/2015,177.2
6/9/2015,179
6/10/2015,179.7
6/11/2015,179.8
6/12/2015,178.3
6/15/2015,177.4
6/16/2015,179.6
6/17/2015,182.6
6/18/2015,190.6
6/19/2015,187.6
6/22/2015,199.2
6/23/2015,222.2
6/24/2015,223.8
6/25/2015,222.3
6/26/2015,223.1
6/29/2015,211.2
6/30/2015,222.8
7/1/2015,220
7/2/2015,217.6
7/6/2015,223.2
7/7/2015,227.1
7/8/2015,218.2
7/9/2015,242.2
7/10/2015,239.6
7/13/2015,239.4
7/14/2015,243.6
7/15/2015,237.2
7/16/2015,241.8
7/17/2015,241.7
7/20/2015,248.6
7/21/2015,246.4
7/22/2015,248.4
7/23/2015,239.8
7/24/2015,235.8
7/27/2015,232.4
7/28/2015,243.9
7/29/2015,238.8
7/30/2015,242.2
7/31/2015,241.2
8/3/2015,242.4
8/4/2015,235.2
8/5/2015,239.8
8/6/2015,228.4
8/7/2015,216.6
8/10/2015,223.8
8/11/2015,277.8
8/12/2015,273
8/13/2015,268.8
8/14/2015,266
8/17/2015,282.8
8/18/2015,269.8
8/19/2015,262.4
8/20/2015,246.8
8/21/2015,243
8/24/2015,214.6
8/25/2015,205
8/26/2015,215.8
8/27/2015,232.4
8/28/2015,232.4
8/31/2015,215.4
9/1/2015,210.2
9/2/2015,218.6
9/3/2015,208.2
9/4/2015,205.2
9/8/2015,212.8
9/9/2015,203.4
9/10/2015,202
9/11/2015,200
9/14/2015,195
9/15/2015,203.4
9/16/2015,199
9/17/2015,207.4
9/18/2015,211.4
9/21/2015,198.2
9/22/2015,195.4
9/23/2015,189.8
9/24/2015,183.8
9/25/2015,172.6
9/28/2015,163
9/29/2015,128.2
9/30/2015,141.4
10/1/2015,135.4
10/2/2015,140.4
10/5/2015,141.8
10/6/2015,135.9
10/7/2015,145.2
10/8/2015,152.2
10/9/2015,160.8
10/12/2015,156
10/13/2015,152.4
10/14/2015,149.6
10/15/2015,156.4
10/16/2015,153.6
10/19/2015,150.8
10/20/2015,139.8
10/21/2015,136
10/22/2015,132.6
10/23/2015,141.2
10/26/2015,138.4
10/27/2015,140
10/28/2015,146.8
10/29/2015,137.6
10/30/2015,135
11/2/2015,153.6
11/3/2015,158
11/4/2015,161
11/5/2015,155.6
11/6/2015,160
11/9/2015,149.9
11/10/2015,140.4
11/11/2015,135.8
11/12/2015,131.8
11/13/2015,134.4
11/16/2015,140.2
11/17/2015,149.4
11/18/2015,153.2
11/19/2015,140.8
11/20/2015,143.8
11/23/2015,150.4
11/24/2015,154
11/25/2015,159.6
11/27/2015,156.1
11/30/2015,171.2
12/1/2015,171
12/2/2015,174.4
12/3/2015,165.2
12/4/2015,174.4
12/7/2015,161.4
12/8/2015,165.6
12/9/2015,159.4
12/10/2015,165
12/11/2015,154.6
12/14/2015,148.6
12/15/2015,164.2
12/16/2015,175.4
12/17/2015,173.4
12/18/2015,170.6
12/21/2015,172.2
12/22/2015,165.6
12/23/2015,167.2
12/24/2015,169.6
12/28/2015,165.6
12/29/2015,173.8
12/30/2015,167
12/31/2015,167.8
1/4/2016,157.6
1/5/2016,157.8
1/6/2016,150.8
1/7/2016,138.4
1/8/2016,141.4
1/11/2016,131.5
1/12/2016,132.8
1/13/2016,120.4
1/14/2016,131.4
1/15/2016,130.2
1/19/2016,121.4
1/20/2016,124
1/21/2016,124.2
1/22/2016,132.4
1/25/2016,111.2
1/26/2016,112.9
1/27/2016,106.8
1/28/2016,97.4
1/29/2016,103
2/1/2016,100.8
2/2/2016,94
2/3/2016,91.8
2/4/2016,97.6
2/5/2016,96.2
2/8/2016,93
2/9/2016,92.4
2/10/2016,93.2
2/11/2016,90.6
2/12/2016,92.2
2/16/2016,98
2/17/2016,101.4
2/18/2016,97.2
2/19/2016,101.2
2/22/2016,100.6
2/23/2016,96.6
2/24/2016,95.8
2/25/2016,91.8
2/26/2016,94.2
2/29/2016,87.2
3/1/2016,94
3/2/2016,96.4
3/3/2016,95.8
3/4/2016,97.2
3/7/2016,102.8
3/8/2016,97.6
3/9/2016,98.2
3/10/2016,95
3/11/2016,97.6
3/14/2016,107.6
3/15/2016,99.8
3/16/2016,97.4
3/17/2016,98
3/18/2016,101.4
3/21/2016,105
3/22/2016,110.4
3/23/2016,103.2
3/24/2016,103.6
3/28/2016,100.8
3/29/2016,104.2
3/30/2016,102.8
3/31/2016,103.2
4/1/2016,109.8
4/4/2016,106.4
4/5/2016,106.8
4/6/2016,113.6
4/7/2016,109.8
4/8/2016,110.2
4/11/2016,109.4
4/12/2016,109.4
4/13/2016,111.4
4/14/2016,111.4
4/15/2016,109.4
4/18/2016,109.8
4/19/2016,106.3
4/20/2016,104.6
4/21/2016,110
4/22/2016,112
4/25/2016,109
4/26/2016,110
4/27/2016,109.4
4/28/2016,109
4/29/2016,104.8
5/2/2016,106.4
5/3/2016,100.6
5/4/2016,95.6
5/5/2016,91.6
5/6/2016,92.2
5/9/2016,95.8
5/10/2016,93.4
5/11/2016,89.2
5/12/2016,86.6
5/13/2016,88.2
5/16/2016,93.8
5/17/2016,97
5/18/2016,103
5/19/2016,102
5/20/2016,104.8
5/23/2016,107.2
5/24/2016,110
5/25/2016,115.6
5/26/2016,112.4
5/27/2016,117.2
5/31/2016,121.8
6/1/2016,122.8
6/2/2016,126
6/3/2016,122.4
6/6/2016,129.4
6/7/2016,131.2
6/8/2016,134
6/9/2016,132.2
6/10/2016,129.8
6/13/2016,127
6/14/2016,131.6
6/15/2016,133
6/16/2016,135.4
6/17/2016,133.8
6/20/2016,136.2
6/21/2016,134.4
6/22/2016,133.8
6/23/2016,138.2
6/24/2016,133.2
6/27/2016,125.4
6/28/2016,139.4
6/29/2016,143.4
6/30/2016,145.4
7/1/2016,149.8
7/5/2016,144.6
7/6/2016,149.2
7/7/2016,149.2
7/8/2016,152.4
7/11/2016,155.4
7/12/2016,154.6
7/13/2016,148.6
